key,quantity,value,unit,group,source,note
V0_tdry_q3ref,问题三生产解 t_dry,206720.4134563,s,V0,registry_q3.csv P01_tdry,
V0_tdry_q4Rconst,q4 模块 R=const+附录3 的 t_dry,206720.41345629605,s,V0,outputs/q4_verify.log,
V0_diff,退化一致性差值 (q4 - q3),-3.958120942115784e-09,s,V0,outputs/q4_verify.log,
V0b_app3_shrink,附录3物性+收缩 t_dry,90834.44011420028,s,V0b,outputs/q4_verify.log,
V0b_app4_Rconst,附录4物性+冻结收缩 t_dry,467318.16098587035,s,V0b,outputs/q4_verify.log,
V0b_app4_Rconst_h,附录4物性+冻结收缩 t_dry,129.81060027385288,h,V0b,outputs/q4_verify.log,
V0b_app4_Rconst_d,附录4物性+冻结收缩 t_dry,5.408775011410536,d,V0b,outputs/q4_verify.log,
PROD_tdry,生产解 t_dry,183906.71282718718,s,PROD,outputs/q4_verify.log,
PROD_tdry_h,生产解 t_dry,51.085198007551995,h,PROD,outputs/q4_verify.log,
PROD_tdry_d,生产解 t_dry,2.128549916981333,d,PROD,outputs/q4_verify.log,
V1_M100,M=100 的 t_dry,183827.20992567966,s,V1,outputs/q4_verify.log,
V1_M200,M=200 的 t_dry,183906.71282718718,s,V1,outputs/q4_verify.log,
V1_M400,M=400 的 t_dry,183934.69473051972,s,V1,outputs/q4_verify.log,
V1_M800,M=800 的 t_dry,183943.11020790294,s,V1,outputs/q4_verify.log,
V1_M1600,M=1600 的 t_dry,183945.37707122925,s,V1,outputs/q4_verify.log,
V1_M3200,M=3200 的 t_dry,183945.96344573775,s,V1,outputs/q4_verify.log,
V1_p_100,由 M=100 三点估计的收敛阶,1.5065134152681532,1,V1,outputs/q4_verify.log,
V1_p_200,由 M=200 三点估计的收敛阶,1.7333770796554537,1,V1,outputs/q4_verify.log,
V1_p_400,由 M=400 三点估计的收敛阶,1.8923477026161357,1,V1,outputs/q4_verify.log,
V1_p_800,由 M=800 三点估计的收敛阶,1.9508031191673696,1,V1,outputs/q4_verify.log,
V1_p_asym,渐近收敛阶,1.9508031191673696,1,V1,outputs/q4_verify.log,
V1_rich_s,Richardson 外推 t_dry (渐近阶),183946.1680499342,s,V1,outputs/q4_verify.log,
V1_rich_h,Richardson 外推 t_dry (渐近阶),51.09615779164839,h,V1,outputs/q4_verify.log,
V1_err_M100,M=100 相对外推极限的误差,-0.03304392340403865,h,V1,outputs/q4_verify.log,
V1_err_M200,M=200 相对外推极限的误差,-0.010959784096396308,h,V1,outputs/q4_verify.log,
V1_err_M400,M=400 相对外推极限的误差,-0.0031870331706886647,h,V1,outputs/q4_verify.log,
V1_err_M800,M=800 相对外推极限的误差,-0.0008494005642407704,h,V1,outputs/q4_verify.log,
V1_err_M1600,M=1600 相对外推极限的误差,-0.00021971630693264565,h,V1,outputs/q4_verify.log,
V1_err_M3200,M=3200 相对外推极限的误差,-5.683449901375247e-05,h,V1,outputs/q4_verify.log,
V2_rtol1e7,rtol=1e-7 的 t_dry,183906.60302479117,s,V2,outputs/q4_verify.log,
V2_rtol1e11,rtol=1e-11 的 t_dry,183906.70810954017,s,V2,outputs/q4_verify.log,
V4_V4_lin,收缩数据口径 线性插值 的 t_dry,183919.31882453055,s,V4,outputs/q4_verify.log,
V4_PROD,收缩数据口径 PCHIP(生产) 的 t_dry,183906.71282718718,s,V4,outputs/q4_verify.log,
V4_V4_tau0,收缩数据口径 过渡段=0 的 t_dry,183906.72671069117,s,V4,outputs/q4_verify.log,
V4_V4_tau1800,收缩数据口径 过渡段=1800s 的 t_dry,183906.7993589971,s,V4,outputs/q4_verify.log,
V6_V6_scale1p10,收缩律 R x 1.10 的 t_dry,218814.0311029779,s,V6,outputs/q4_verify.log,
V6_V6_scale1p05,收缩律 R x 1.05 的 t_dry,200960.33058401322,s,V6,outputs/q4_verify.log,
V6_PROD,收缩律 R x 1.00 (生产) 的 t_dry,183906.71282718718,s,V6,outputs/q4_verify.log,
V6_V6_scale0p95,收缩律 R x 0.95 的 t_dry,167671.0546758068,s,V6,outputs/q4_verify.log,
V6_V6_scale0p90,收缩律 R x 0.90 的 t_dry,152252.98941843447,s,V6,outputs/q4_verify.log,
V5b_FV_M100,独立FV 求解到事件的 t_dry (M=100),182166.6119188237,s,V5b,outputs/q4_verify.log,
V5b_main_M100,主格式 t_dry (M=100),183827.20992567966,s,V5b,outputs/q4_verify.log,
V5b_diff_M100,FV 与主格式的 t_dry 差 (M=100),-0.4612772241266551,h,V5b,outputs/q4_verify.log,
V5b_FV_M200,独立FV 求解到事件的 t_dry (M=200),183078.521228503,s,V5b,outputs/q4_verify.log,
V5b_main_M200,主格式 t_dry (M=200),183906.71282718718,s,V5b,outputs/q4_verify.log,
