doc,line,token,kind,source,registry_file
problem3_slove.md,3,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,4,5,MATCH,W11_pen_dmax_cm,registry_q3_2d.csv
problem3_slove.md,4,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,10,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,11,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,11,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,11,10,MATCH,DR_c120_dh,registry_q3_drainage.csv
problem3_slove.md,11,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,11,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,12,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,12,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,12,5,MATCH,W11_pen_dmax_cm,registry_q3_2d.csv
problem3_slove.md,12,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,12,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,13,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,13,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,14,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,14,11,MATCH,W11_max_dt_axial,registry_q3_2d.csv
problem3_slove.md,14,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,14,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,16,3.12,ALLOW,allow: python 版本号,
problem3_slove.md,16,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,16,2.5,MATCH,X_C_3600_0,registry_q3.csv
problem3_slove.md,16,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,16,1.18,ALLOW,allow: scipy 版本号,
problem3_slove.md,16,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,16,3.1,ALLOW,allow: openpyxl 版本号,
problem3_slove.md,16,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,23,3,MATCH,X_C_600_0,registry_q3.csv
